436,170Tm,101,69,1.111*10^7,"beta-, beta+",170
437,151Gd,87,64,1.071*10^7,"beta+, alpha",151
438,181W,107,74,1.047*10^7,beta+,181
439,75Se,41,34,1.035*10^7,beta+,75
440,123mTe,71,52,1.03*10^7,IT,123
441,113Sn,63,50,9.944*10^6,beta+,113
442,182Ta,109,73,9.887*10^6,beta-,182
443,127mTe,75,52,9.418*10^6,"IT, beta-",127
444,88Y,49,39,9.212*10^6,beta+,88
445,257Fm,157,100,8.683*10^6,"alpha, SF",257
446,185Os,109,76,8.087*10^6,beta+,185
447,168Tm,99,69,8.044*10^6,"beta+, beta-",168
448,149Eu,86,63,8.044*10^6,beta+,149
449,97mTc,54,43,7.862*10^6,"IT, EC",97
450,35S,19,16,7.561*10^6,beta-,35
451,83Rb,46,37,7.448*10^6,beta+,83
452,46Sc,25,21,7.239*10^6,beta-,46
453,88Zr,48,40,7.206*10^6,beta+,88
454,73As,40,33,6.938*10^6,beta+,73
455,56Co,29,27,6.673*10^6,beta+,56
456,185W,111,74,6.489*10^6,beta-,185
457,192Ir,115,77,6.379*10^6,"beta-, EC",192
458,160Tb,95,65,6.247*10^6,beta-,160
459,58Co,31,27,6.122*10^6,beta+,58
460,183Re,108,75,6.048*10^6,beta+,183
461,175Hf,103,72,6.048*10^6,beta+,175
462,188W,114,74,6.029*10^6,beta-,188
463,85Sr,47,38,5.602*10^6,beta+,85
464,95Zr,55,40,5.532*10^6,beta-,95
465,95mTc,52,43,5.270*10^6,"beta+, IT",95
466,91mNb,50,41,5.258*10^6,"IT, EC",91
467,254Cf,156,98,5.227*10^6,"SF, alpha",254
468,124Sb,73,51,5.194*10^6,beta-,124
469,125I,72,53,5.132*10^6,beta+,125
470,91Y,52,39,5.055*10^6,beta-,91
471,125mTe,73,52,4.959*10^6,IT,125
472,148Eu,85,63,4.709*10^6,"beta+, alpha",148
473,7Be,3,4,4.598*10^6,beta+,7
474,258Md,157,101,4.450*10^6,"alpha, SF",258
475,89Sr,51,38,4.369*10^6,beta-,89
476,114mIn,65,49,4.278*10^6,"IT, beta+",114
477,146Gd,82,64,4.171*10^6,beta+,146
478,203Hg,123,80,4.026*10^6,beta-,203
479,237Pu,143,94,3.905*10^6,"beta+, alpha",237
480,115mCd,67,48,3.850*10^6,beta-,115
481,59Fe,33,26,3.844*10^6,beta-,59
482,181Hf,109,72,3.662*10^6,beta-,181
483,148mPm,87,61,3.567*10^6,"beta-, IT",148
484,105Ag,58,47,3.567*10^6,beta+,105
485,255Es,156,99,3.439*10^6,"beta-, alpha, SF",255
486,103Ru,59,44,3.392*10^6,beta-,103
487,127Xe,73,54,3.145*10^6,beta+,127
488,184Re,109,75,3.059*10^6,beta+,184
489,95Nb,54,41,3.023*10^6,beta-,95
490,37Ar,19,18,3.020*10^6,beta+,37
491,129mTe,77,52,2.903*10^6,"IT, beta-",129
492,84Rb,47,37,2.860*10^6,"beta+, beta-",84
493,241Cm,145,96,2.834*10^6,"beta+, alpha",241
494,141Ce,83,58,2.809*10^6,beta-,141
495,169Yb,99,70,2.767*10^6,beta+,169
496,260Md,159,101,2.748*10^6,"SF, alpha, beta+, beta-",260
497,51Cr,27,24,2.393*10^6,beta+,51
498,240Cm,144,96,2.333*10^6,"alpha, beta+, SF",240
499,233Pa,142,91,2.331*10^6,beta-,233
500,82Sr,44,38,2.208*10^6,beta+,82
501,33P,18,15,2.189*10^6,beta-,33
502,179m2Hf,107,72,2.164*10^6,IT,179
503,234Th,144,90,2.082*10^6,beta-,234
504,147Eu,84,63,2.082*10^6,"beta+, alpha",147
505,178W,104,74,1.866*10^6,beta+,178
506,230U,138,92,1.797*10^6,"alpha, SF",230
507,253Es,154,99,1.769*10^6,"alpha, SF",253
508,121Te,69,52,1.656*10^6,ε,121
509,227Th,137,90,1.614*10^6,alpha,227
